Type,Profile,Dim1_in,Dim2_in,Wall_or_Thk_in,Wall_or_Thk_Code,Material,Material_Code,Stock_Length_ft,Weight_lb_per_ft,Stock_Weight_lb,Part_Number
SQ,Square/Rect Tube,1,1,0.125,125,Stainless Steel,SS,20,1.517,30.3,SQ-010-010-125-SS
SQ,Square/Rect Tube,1,1,0.125,125,Carbon Steel,CS,20,1.489,29.8,SQ-010-010-125-CS
SQ,Square/Rect Tube,1,2,0.125,125,Stainless Steel,SS,20,2.384,47.7,SQ-010-020-125-SS
SQ,Square/Rect Tube,1,2,0.125,125,Carbon Steel,CS,20,2.34,46.8,SQ-010-020-125-CS
SQ,Square/Rect Tube,1,3,0.125,125,Stainless Steel,SS,20,3.251,65,SQ-010-030-125-SS
SQ,Square/Rect Tube,1,3,0.125,125,Carbon Steel,CS,20,3.191,63.8,SQ-010-030-125-CS
SQ,Square/Rect Tube,2,2,0.125,125,Stainless Steel,SS,20,3.251,65,SQ-020-020-125-SS
SQ,Square/Rect Tube,2,2,0.125,125,Carbon Steel,CS,20,3.191,63.8,SQ-020-020-125-CS
SQ,Square/Rect Tube,2,3,0.125,125,Stainless Steel,SS,20,4.118,82.4,SQ-020-030-125-SS
SQ,Square/Rect Tube,2,3,0.125,125,Carbon Steel,CS,20,4.041,80.8,SQ-020-030-125-CS
SQ,Square/Rect Tube,2,4,0.125,125,Stainless Steel,SS,20,4.985,99.7,SQ-020-040-125-SS
SQ,Square/Rect Tube,2,4,0.125,125,Carbon Steel,CS,20,4.892,97.8,SQ-020-040-125-CS
SQ,Square/Rect Tube,2,6,0.125,125,Stainless Steel,SS,20,6.719,134.4,SQ-020-060-125-SS
SQ,Square/Rect Tube,2,6,0.125,125,Carbon Steel,CS,20,6.594,131.9,SQ-020-060-125-CS
SQ,Square/Rect Tube,3,3,0.125,125,Stainless Steel,SS,20,4.985,99.7,SQ-030-030-125-SS
SQ,Square/Rect Tube,3,3,0.125,125,Carbon Steel,CS,20,4.892,97.8,SQ-030-030-125-CS
SQ,Square/Rect Tube,3,4,0.125,125,Stainless Steel,SS,20,5.852,117,SQ-030-040-125-SS
SQ,Square/Rect Tube,3,4,0.125,125,Carbon Steel,CS,20,5.743,114.9,SQ-030-040-125-CS
SQ,Square/Rect Tube,4,4,0.125,125,Stainless Steel,SS,20,6.719,134.4,SQ-040-040-125-SS
SQ,Square/Rect Tube,4,4,0.125,125,Carbon Steel,CS,20,6.594,131.9,SQ-040-040-125-CS
SQ,Square/Rect Tube,4,6,0.125,125,Stainless Steel,SS,20,8.453,169.1,SQ-040-060-125-SS
SQ,Square/Rect Tube,4,6,0.125,125,Carbon Steel,CS,20,8.295,165.9,SQ-040-060-125-CS
SQ,Square/Rect Tube,4,8,0.125,125,Stainless Steel,SS,20,10.187,203.7,SQ-040-080-125-SS
SQ,Square/Rect Tube,4,8,0.125,125,Carbon Steel,CS,20,9.997,199.9,SQ-040-080-125-CS
OT,Round Tube,1,,0.125,125,Stainless Steel,SS,20,1.192,23.8,OT-010-125-SS
OT,Round Tube,1,,0.125,125,Carbon Steel,CS,20,1.169,23.4,OT-010-125-CS
OT,Round Tube,1.5,,0.125,125,Stainless Steel,SS,20,1.873,37.5,OT-015-125-SS
OT,Round Tube,1.5,,0.125,125,Carbon Steel,CS,20,1.838,36.8,OT-015-125-CS
OT,Round Tube,2,,0.125,125,Stainless Steel,SS,20,2.554,51.1,OT-020-125-SS
OT,Round Tube,2,,0.125,125,Carbon Steel,CS,20,2.506,50.1,OT-020-125-CS
OT,Round Tube,2.5,,0.125,125,Stainless Steel,SS,20,3.234,64.7,OT-025-125-SS
OT,Round Tube,2.5,,0.125,125,Carbon Steel,CS,20,3.174,63.5,OT-025-125-CS
SM,Sheet Metal,,,0.0359,20G,Stainless Steel,SS,,,,SM-20G-SS
SM,Sheet Metal,,,0.0359,20G,Carbon Steel,CS,,,,SM-20G-CS
SM,Sheet Metal,,,0.0478,18G,Stainless Steel,SS,,,,SM-18G-SS
SM,Sheet Metal,,,0.0478,18G,Carbon Steel,CS,,,,SM-18G-CS
SM,Sheet Metal,,,0.0598,16G,Stainless Steel,SS,,,,SM-16G-SS
SM,Sheet Metal,,,0.0598,16G,Carbon Steel,CS,,,,SM-16G-CS
SM,Sheet Metal,,,0.0747,14G,Stainless Steel,SS,,,,SM-14G-SS
SM,Sheet Metal,,,0.0747,14G,Carbon Steel,CS,,,,SM-14G-CS
SM,Sheet Metal,,,0.1046,12G,Stainless Steel,SS,,,,SM-12G-SS
SM,Sheet Metal,,,0.1046,12G,Carbon Steel,CS,,,,SM-12G-CS
SM,Sheet Metal,,,0.1196,11G,Stainless Steel,SS,,,,SM-11G-SS
SM,Sheet Metal,,,0.1196,11G,Carbon Steel,CS,,,,SM-11G-CS
SM,Sheet Metal,,,0.125,125,Stainless Steel,SS,,,,SM-0125-SS
SM,Sheet Metal,,,0.125,125,Carbon Steel,CS,,,,SM-0125-CS
SM,Sheet Metal,,,0.188,188,Stainless Steel,SS,,,,SM-0188-SS
SM,Sheet Metal,,,0.188,188,Carbon Steel,CS,,,,SM-0188-CS
SM,Sheet Metal,,,0.25,250,Stainless Steel,SS,,,,SM-0250-SS
SM,Sheet Metal,,,0.25,250,Carbon Steel,CS,,,,SM-0250-CS
SM,Sheet Metal,,,0.313,313,Stainless Steel,SS,,,,SM-0313-SS
SM,Sheet Metal,,,0.313,313,Carbon Steel,CS,,,,SM-0313-CS
SM,Sheet Metal,,,0.375,375,Stainless Steel,SS,,,,SM-0375-SS
SM,Sheet Metal,,,0.375,375,Carbon Steel,CS,,,,SM-0375-CS
SM,Sheet Metal,,,0.5,500,Stainless Steel,SS,,,,SM-0500-SS
SM,Sheet Metal,,,0.5,500,Carbon Steel,CS,,,,SM-0500-CS
SM,Sheet Metal,,,0.75,750,Stainless Steel,SS,,,,SM-0750-SS
SM,Sheet Metal,,,0.75,750,Carbon Steel,CS,,,,SM-0750-CS
